title,description,priority,estimate,labels
"[Buyers] Complete buyer lead detail page","Wire /buyers/[id] to show all lead fields from DB. Show related visits and activity timeline.",1,3,"S1"
"[Buyers] Add edit-lead functionality","Add inline edit or edit dialog on buyer detail page. Call PUT /api/v1/leads/[id].",1,3,"S1"
"[Buyers] Enhance new-lead-form with all schema fields","Add missing fields: preference_json, locality, zone, budget range, timeline.",2,2,"S1"
"[Buyers] Add delete/archive lead action","Soft-delete via DELETE /api/v1/leads/[id]. Add confirmation dialog.",2,1,"S1"
"[Buyers] Wire kanban drag-and-drop to update lead status","Kanban column changes call PUT /api/v1/leads/[id] with new status.",1,2,"S1"
"[Sellers] Complete seller lead detail page","Wire /sellers/[id] to show all seller lead fields and activity timeline.",1,3,"S1"
"[Sellers] Add edit seller lead functionality","Edit dialog or inline editing on seller detail page.",1,3,"S1"
"[Sellers] Enhance new-seller-form with all schema fields","Add missing fields: secondary phone, source listing URL, drop reason.",2,2,"S1"
"[Sellers] Add delete/archive seller lead action","Soft-delete with confirmation dialog.",2,1,"S1"
"[Listings] Complete listing detail page with all fields","Wire listing detail to show: configuration, USPs, price, MSP, GTM fields.",1,3,"S1"
"[Listings] Create edit-listing page/dialog","Full edit form for listing fields. Call PUT /api/v1/listings/[id].",1,5,"S1"
"[Listings] Complete listing wizard submission","Verify wizard correctly creates building, unit, and listing via POST.",1,2,"S1"
"[Listings] Add listing status workflow UI","Status transition buttons: draft, inspection_pending, active, sold.",2,3,"S1"
"[Visits] Complete visit detail page","Show scheduled time, status, agent, property, buyer, OTP, and location.",1,3,"S1"
"[Visits] Add visit workflow actions","Buttons: Confirm, Cancel, Reschedule, Complete (with OTP + location).",1,5,"S1"
"[Visits] Fix visit creation form","Wire to real data: listing, lead, and agent dropdowns from API.",1,3,"S1"
"[Offers] Complete offers list page","Fetch from GET /api/v1/offers and display in table and kanban.",1,3,"S1"
"[Offers] Create new offer form","Select listing and buyer lead, enter amount and terms. Call POST.",1,3,"S1"
"[Offers] Add offer status actions","Accept, Reject (with reason), Counter (with new amount).",2,3,"S1"
"[Settings] Create team management page","List team members from GET /api/v1/agents. Add/edit roles.",2,3,"S1"
"[Shared] Create reusable notes section component","Polymorphic: works for leads, seller leads, listings, visits.",1,3,"S1"
"[Shared] Create activity timeline component","Fetch from audit logs API. Render chronological timeline.",2,3,"S1"
"[Shared] Create media gallery component","Display images grid with lightbox. Upload placeholder.",2,2,"S1"
"[WhatsApp] Design integration architecture","Document Kapso API surface. Design DB schema additions.",1,2,"S2"
"[WhatsApp] Create Kapso service module","Service to send template msg, send session msg, and validate webhook.",1,3,"S2"
"[WhatsApp] Create send message API","Endpoint to send template or session message to a phone number.",1,3,"S2"
"[WhatsApp] Create webhook receiver","Endpoint to receive delivery receipts and incoming messages.",1,3,"S2"
"[WhatsApp] Add Send WhatsApp button to detail pages","Entry point on buyer, seller, and visit detail pages.",2,3,"S2"
"[WhatsApp] Create conversation timeline view","Per-lead or per-contact message history showing delivery status.",2,5,"S2"
"[WhatsApp] Template management UI","List, create, and edit message templates in settings.",3,3,"S2"
"[LeadGen] Create Housing.com webhook endpoint","Parse Housing lead payload and create buyer lead record.",1,3,"S3"
"[LeadGen] Create 99acres webhook endpoint","Parse 99acres lead payload and create buyer lead record.",1,3,"S3"
"[LeadGen] Create website form submission endpoint","Public endpoint for jumbohomes.in contact form.",2,2,"S3"
"[LeadGen] CSV bulk import for leads","Upload CSV, parse, validate, and bulk insert leads.",2,5,"S3"
"[Triggers] Design event-driven trigger framework","Define events and actions. Store trigger configs in DB.",1,5,"S3"
"[Triggers] Implement auto-message on lead creation","Send welcome WhatsApp template when a new lead is created.",1,2,"S3"
"[Triggers] Implement visit reminder messages","Send reminders 24h and 1h before scheduled visits.",2,3,"S3"
"[Triggers] Implement post-visit follow-up","Send feedback request or next steps after visit completion.",2,2,"S3"
"[Migration] Audit existing data sources and field mapping","Map source columns to target tables/columns for all entities.",1,3,"S4"
"[Migration] Write migration script: team members","Import existing agents and team members with correct roles.",1,2,"S4"
"[Migration] Write migration script: contacts + leads","Deduplicate by phone. Create contacts and buyer leads.",1,3,"S4"
"[Migration] Write migration script: buildings + units + listings","Import buildings, units, and listings with correct status.",1,3,"S4"
"[Migration] Write migration script: seller leads","Import seller leads linked to contacts and buildings.",1,2,"S4"
"[Migration] Write migration script: visits + offers","Import historical visits and offers from legacy data.",2,2,"S4"
"[Migration] Dry run & validation","Run in dev environment. Validate counts and FK integrity.",1,3,"S4"
"[Infra] Set up dev Supabase project + Postgres","Separate Supabase project for development. Configure env files.",1,2,"S5"
"[Infra] Set up production Supabase project + Postgres","Production project. Configure RLS policies for security.",1,3,"S5"
"[Infra] Implement branching model","main for production, develop for integration. Protect main branch.",1,1,"S5"
"[Infra] Set up CI pipeline","GitHub Actions: lint, type-check, build, and migration dry-run.",1,3,"S5"
"[Infra] Set up CD pipeline","Auto-deploy main to production and develop to dev/staging.",1,3,"S5"
"[Infra] Add Supabase RLS policies for team table","Fix RLS issue blocking middleware role checks.",1,2,"S5"
"[Infra] Run production data migration","Execute validated migration scripts against production DB.",1,2,"S5"
"[AI] Lead qualification scoring","LLM engine to score leads based on activity, budget, and timeline.",2,5,"S6"
"[AI] Interaction summaries","Summarize communication timeline into a 2â€“3 sentence digest.",2,3,"S6"
"[AI] Suggested next actions","Suggest follow-up action based on status and last activity.",3,3,"S6"
"[Media] Set up Supabase Storage buckets","Configure buckets for listing images, photos, and documents.",1,2,"S6"
"[Media] Implement signed upload URLs","Endpoint to generate presigned upload URL and create media record.",1,3,"S6"
"[Media] Wire listing wizard image upload to storage","Real upload to Supabase Storage during listing creation.",1,3,"S6"
"[Automation] Build scheduled job runner","Cron system for follow-up reminders and stale lead nudges.",2,5,"S6"
"[Automation] Stale lead follow-up reminders","Notify assigned agent via WhatsApp if no activity in X days.",2,3,"S6"
"[Automation] Auto-status transitions","Auto-suggest status changes based on visit feedback.",3,3,"S6"
"[Mobile] Set up React Native + Expo project","Initialize project and configure auth with Supabase.",1,3,"S7"
"[Mobile] Auth: login, session management, logout","Supabase Auth with secure token storage and auto-refresh.",1,3,"S7"
"[Mobile] Today's tasks screen","Show scheduled visits and follow-up reminders for the agent.",1,5,"S7"
"[Mobile] Quick lead creation","Minimal form to create lead and auto-assign to current agent.",1,3,"S7"
"[Mobile] Visit flow: navigate, check-in, OTP, feedback","GPS check-in, OTP verification, and post-visit feedback.",1,5,"S7"
"[Mobile] Listing browse & shortlist","Search/filter listings and share via WhatsApp.",2,5,"S7"
"[Mobile] Notes & photos capture","Quick note entry and photo capture during property visits.",2,3,"S7"
"[Mobile] Push notifications","Alerts for new lead assigned, visit reminders, and offers.",2,3,"S7"
"[API] Document all endpoints with OpenAPI spec","Generate OpenAPI/Swagger docs for mobile team reference.",1,3,"S7"